Account,Instrument,Open time,Open price,Open volume,Close time,Close price,Close volume,Price PnL,Profit (ticks),PnL,Comment
DEMO4331744,MNQM5,31.03.2025 20:30:04,19417.0,1,31.03.2025 20:30:11,19416.75,-1,-0.25,-1,-0.5,
1384502,MNQM5,15.04.2025 16:48:10,19066.75,1,15.04.2025 16:48:25,19052.5,-1,-14.25,-57,-28.5,
TPT4918958,MNQM5@CME,28.04.2025 14:46:51,19533.0,-1,28.04.2025 14:47:21,19537.75,1,-4.75,-19,-9.5,
TPT4918958,MNQM5@CME,28.04.2025 14:47:55,19544.25,1,28.04.2025 14:50:46,19538.75,-1,-5.5,-22,-11.0,
TPT4918958,MNQM5@CME,28.04.2025 16:02:33,19462.25,-1,28.04.2025 16:02:42,19476.25,1,-14.0,-56,-28.0,
TPT4918958,MNQM5@CME,28.04.2025 16:03:10,19484.25,1,28.04.2025 16:03:38,19486.25,-1,2.0,8,4.0,
TPT4918958,MNQM5@CME,28.04.2025 16:03:45,19490.5,1,28.04.2025 16:04:34,19495.0,-1,4.5,18,9.0,
TPT4918958,MNQM5@CME,28.04.2025 16:05:13,19498.5,-1,28.04.2025 16:06:02,19512.75,1,-14.25,-57,-28.5,
TPT4918958,MNQM5@CME,28.04.2025 16:06:06,19508.75,1,28.04.2025 16:06:31,19485.0,-1,-23.75,-95,-47.5,
TPT4918958,MNQM5@CME,28.04.2025 16:06:22,19498.75,1,28.04.2025 16:06:31,19485.0,-1,-13.75,-55,-27.5,
TPT4918958,MNQM5@CME,28.04.2025 16:06:25,19494.0,1,28.04.2025 16:06:31,19485.0,-1,-9.0,-36,-18.0,
TPT4918958,MNQM5@CME,28.04.2025 16:06:42,19486.5,1,28.04.2025 16:07:27,19502.0,-1,15.5,62,31.0,
TPT4918958,MNQM5@CME,28.04.2025 16:07:45,19489.0,1,28.04.2025 16:09:42,19505.0,-1,16.0,64,32.0,
TPT4918958,MNQM5@CME,28.04.2025 16:11:13,19515.5,1,28.04.2025 16:11:42,19500.75,-1,-14.75,-59,-29.5,
TPT4918958,MNQM5@CME,28.04.2025 16:12:03,19497.0,-1,28.04.2025 16:12:24,19495.5,1,1.5,6,3.0,
TPT4918958,MNQM5@CME,28.04.2025 16:12:36,19509.5,-1,28.04.2025 16:13:54,19504.5,1,5.0,20,10.0,
TPT4918958,MNQM5@CME,28.04.2025 16:14:15,19513.0,1,28.04.2025 16:15:05,19498.75,-1,-14.25,-57,-28.5,
TPT4918958,MNQM5@CME,28.04.2025 16:15:19,19506.0,-1,28.04.2025 16:19:08,19506.5,1,-0.5,-2,-1.0,
TPT4918958,MNQM5@CME,28.04.2025 16:31:07,19465.75,-1,28.04.2025 16:31:40,19460.5,1,5.25,21,10.5,
TPT4918958,MNQM5@CME,28.04.2025 16:31:57,19457.25,-1,28.04.2025 16:32:32,19457.5,1,-0.25,-1,-0.5,
TPT4918958,MNQM5@CME,28.04.2025 16:32:05,19466.5,-1,28.04.2025 16:32:32,19457.5,1,9.0,36,18.0,
TPT4918958,MNQM5@CME,28.04.2025 16:32:44,19449.0,-1,28.04.2025 16:33:30,19465.25,1,-16.25,-65,-32.5,
TPT4918958,MNQM5@CME,28.04.2025 16:32:56,19459.5,-1,28.04.2025 16:33:30,19465.25,1,-5.75,-23,-11.5,
TPT4918958,MNQM5@CME,28.04.2025 16:32:58,19466.0,-1,28.04.2025 16:33:30,19465.25,1,0.75,3,1.5,
TPT4918958,MNQM5@CME,28.04.2025 16:33:00,19464.5,-1,28.04.2025 16:33:30,19465.5,1,-1.0,-4,-2.0,
TPT4918958,MNQM5@CME,28.04.2025 16:33:04,19471.5,-1,28.04.2025 16:33:30,19465.5,1,6.0,24,12.0,
TPT4918958,MNQM5@CME,28.04.2025 16:33:08,19472.75,-1,28.04.2025 16:33:30,19465.5,1,7.25,29,14.5,
TPT4918958,MNQM5@CME,28.04.2025 16:33:11,19474.75,-1,28.04.2025 16:33:30,19465.5,1,9.25,37,18.5,
TPT4918958,MNQM5@CME,28.04.2025 16:33:43,19465.25,-1,28.04.2025 16:34:04,19479.5,1,-14.25,-57,-28.5,
TPT4918958,MNQM5@CME,28.04.2025 16:34:45,19490.25,-1,28.04.2025 16:36:41,19504.75,1,-14.5,-58,-29.0,
TPT4918958,MNQM5@CME,28.04.2025 16:37:28,19514.0,1,28.04.2025 16:37:57,19516.0,-1,2.0,8,4.0,
TPT4918958,MNQM5@CME,28.04.2025 16:38:08,19511.0,1,28.04.2025 16:38:40,19520.75,-1,9.75,39,19.5,
